activity,containers,ingredients,tool,dish,subject,labels,className,fileName,startFrame,startTimeSeconds,endFrame,endTimeSeconds
put inV,"['', 'cupboard']",['jar'],['hand'],65.0,25.0,1774.0,put inVhandjarcupboard,s25-d65-cam-002,1085.0,36.938,1178.0,40.102
grindV,['mortar'],['peppercorn'],['pestle'],65.0,25.0,805.0,grindVpestlepeppercornmortar,s25-d65-cam-002,1216.0,41.394,1862.0,63.367
moveV,"['counter', 'sink']",['peppercorn'],['hand'],65.0,25.0,1160.0,moveVhandpeppercorncountersink,s25-d65-cam-002,1862.0,63.367,1928.0,65.612
grindV,['mortar'],['peppercorn'],['pestle'],65.0,25.0,805.0,grindVpestlepeppercornmortar,s25-d65-cam-002,1938.0,65.952,4546.0,154.659
moveV,"['counter', 'sink']",['peppercorn'],['hand'],65.0,25.0,1160.0,moveVhandpeppercorncountersink,s25-d65-cam-002,4546.0,154.659,4581.0,155.85
grindV,['mortar'],['peppercorn'],['pestle'],65.0,25.0,805.0,grindVpestlepeppercornmortar,s25-d65-cam-002,4587.0,156.054,5081.0,172.857
enterV,[''],[''],[''],68.0,25.0,706.0,enterV,s25-d68-cam-002,156.0,5.34,188.0,6.428
take outV,['fridge'],['carrot'],['hand'],68.0,25.0,2595.0,take outVhandcarrotfridge,s25-d68-cam-002,224.0,7.653,532.0,18.129
take outV,"['drawer', 'counter']",['flat-grater'],['hand'],68.0,25.0,2651.0,take outVhandflat graterdrawercounter,s25-d68-cam-002,559.0,19.047,725.0,24.693
take outV,"['drawer', 'flat-grater']",['food-pusher'],['hand'],68.0,25.0,2658.0,take outVhandfood pusherdrawerflat grater,s25-d68-cam-002,744.0,25.34,803.0,27.346
take outV,"['drawer', 'counter']",['cutting-board'],['hand'],68.0,25.0,2637.0,take outVhandcutting boarddrawercounter,s25-d68-cam-002,820.0,27.925,941.0,32.04
washV,[''],['carrot'],['hand'],68.0,25.0,3138.0,washVhandcarrot,s25-d68-cam-002,960.0,32.687,1099.0,37.414
shakeV,[''],['carrot'],['hand'],68.0,25.0,2174.0,shakeVhandcarrot,s25-d68-cam-002,1107.0,37.687,1161.0,39.523
take outV,['drawer'],['chefs-knife'],['hand'],68.0,25.0,2604.0,take outVhandchefs knifedrawer,s25-d68-cam-002,1170.0,39.829,1252.0,42.619
cut off endsV,['cutting-board'],['carrot'],['chefs-knife'],68.0,25.0,518.0,cut off endsVchefs knifecarrotcutting board,s25-d68-cam-002,1266.0,43.095,1408.0,47.925
throw in garbageV,[''],['carrot'],['hand'],68.0,25.0,3001.0,throw in garbageVhandcarrot,s25-d68-cam-002,1581.0,53.809,1652.0,56.224
take outV,['drawer'],['front-peeler'],['hand'],68.0,25.0,2664.0,take outVhandfront peelerdrawer,s25-d68-cam-002,1657.0,56.394,1793.0,61.02
peelV,[''],['carrot'],['front-peeler'],68.0,25.0,1446.0,peelVfront peelercarrot,s25-d68-cam-002,1816.0,61.776,1907.0,64.897
throw in garbageV,[''],['peel'],['hand'],68.0,25.0,3041.0,throw in garbageVhandpeel,s25-d68-cam-002,1958.0,66.632,2004.0,68.197
peelV,[''],['carrot'],['front-peeler'],68.0,25.0,1446.0,peelVfront peelercarrot,s25-d68-cam-002,2021.0,68.775,3218.0,109.474
washV,[''],['carrot'],['hand'],68.0,25.0,3138.0,washVhandcarrot,s25-d68-cam-002,3306.0,112.482,3385.0,115.17
shakeV,[''],"['carrot', 'front-peeler']",['hand'],68.0,25.0,2175.0,shakeVhandcarrotfront peeler,s25-d68-cam-002,3392.0,115.408,3417.0,116.258
washV,[''],['front-peeler'],['hand'],68.0,25.0,3161.0,washVhandfront peeler,s25-d68-cam-002,3430.0,116.7,3486.0,118.605
shakeV,[''],['front-peeler'],['hand'],68.0,25.0,2197.0,shakeVhandfront peeler,s25-d68-cam-002,3492.0,118.809,3517.0,119.659
put inV,"['', 'drawer']",['front-peeler'],['hand'],68.0,25.0,1762.0,put inVhandfront peelerdrawer,s25-d68-cam-002,3523.0,119.863,3622.0,123.231
cut apartV,['cutting-board'],['carrot'],['chefs-knife'],68.0,25.0,388.0,cut apartVchefs knifecarrotcutting board,s25-d68-cam-002,3704.0,126.02,3763.0,128.027
put inV,"['', 'food-pusher']",['carrot'],['hand'],68.0,25.0,1743.0,put inVhandcarrotfood pusher,s25-d68-cam-002,3802.0,129.326,4204.0,143.011
moveV,"['counter', 'cutting-board']",['flat-grater'],['hand'],68.0,25.0,1004.0,moveVhandflat gratercountercutting board,s25-d68-cam-002,4216.0,143.435,4299.0,146.258
take outV,"['cupboard', 'counter']",['plate'],['hand'],68.0,25.0,2814.0,take outVhandplatecupboardcounter,s25-d68-cam-002,4349.0,147.959,4613.0,156.938
throw in garbageV,[''],['carrot'],['hand'],68.0,25.0,3001.0,throw in garbageVhandcarrot,s25-d68-cam-002,5215.0,177.414,5303.0,180.408
grateV,['plate'],['carrot'],"['food-pusher', 'flat-grater']",68.0,25.0,804.0,grateVfood pusherflat gratercarrotplate,s25-d68-cam-002,5378.0,182.959,5963.0,202.857
washV,[''],['carrot'],['hand'],68.0,25.0,3138.0,washVhandcarrot,s25-d68-cam-002,6158.0,209.489,6223.0,211.7
shakeV,[''],['carrot'],['hand'],68.0,25.0,2174.0,shakeVhandcarrot,s25-d68-cam-002,6230.0,211.938,6300.0,214.319
take outV,"['drawer', 'cutting-board']",['flat-grater'],['hand'],68.0,25.0,2652.0,take outVhandflat graterdrawercutting board,s25-d68-cam-002,6305.0,214.489,6434.0,218.877
moveV,"['plate', 'sink']",['flat-grater'],['hand'],68.0,25.0,1009.0,moveVhandflat graterplatesink,s25-d68-cam-002,6437.0,218.979,6532.0,222.21
grateV,['plate'],['carrot'],['flat-grater'],68.0,25.0,795.0,grateVflat gratercarrotplate,s25-d68-cam-002,6600.0,224.523,7444.0,253.231
throw in garbageV,[''],['carrot'],['hand'],68.0,25.0,3001.0,throw in garbageVhandcarrot,s25-d68-cam-002,7471.0,254.149,7521.0,255.85
take outV,['food-pusher'],['carrot'],['hand'],68.0,25.0,2594.0,take outVhandcarrotfood pusher,s25-d68-cam-002,7521.0,255.85,7553.0,256.938
grateV,['plate'],['carrot'],['flat-grater'],68.0,25.0,795.0,grateVflat gratercarrotplate,s25-d68-cam-002,7585.0,258.027,8074.0,274.651
moveV,"['counter', 'counter']",['plate'],['hand'],68.0,25.0,1190.0,moveVhandplatecountercounter,s25-d68-cam-002,8080.0,274.863,8133.0,276.666
grateV,['plate'],['carrot'],['flat-grater'],68.0,25.0,795.0,grateVflat gratercarrotplate,s25-d68-cam-002,8133.0,276.666,9090.0,309.217
throw in garbageV,[''],['carrot'],['hand'],68.0,25.0,3001.0,throw in garbageVhandcarrot,s25-d68-cam-002,9159.0,311.564,9243.0,314.421
scratch offV,"['flat-grater', 'plate']",['carrot'],['hand'],68.0,25.0,2042.0,scratch offVhandcarrotflat graterplate,s25-d68-cam-002,9272.0,315.408,9317.0,316.938
tapV,[''],['flat-grater'],['hand'],68.0,25.0,2916.0,tapVhandflat grater,s25-d68-cam-002,9344.0,317.857,9403.0,319.863
tapV,[''],['flat-grater'],['hand'],68.0,25.0,2916.0,tapVhandflat grater,s25-d68-cam-002,9434.0,320.918,9508.0,323.435
moveV,"['counter', 'plate']",['carrot'],['hand'],68.0,25.0,905.0,moveVhandcarrotcounterplate,s25-d68-cam-002,9546.0,324.727,9605.0,326.734
moveV,"['counter', 'counter']",['plate'],['hand'],68.0,25.0,1190.0,moveVhandplatecountercounter,s25-d68-cam-002,9731.0,331.02,9777.0,332.585
enterV,[''],[''],[''],69.0,25.0,706.0,enterV,s25-d69-cam-002,142.0,4.863,179.0,6.122
take outV,"['cupboard', 'counter']",['bowl'],['hand'],69.0,25.0,2565.0,take outVhandbowlcupboardcounter,s25-d69-cam-002,194.0,6.632,405.0,13.809
take outV,"['fridge', 'counter']",['egg'],['hand'],69.0,25.0,2642.0,take outVhandeggfridgecounter,s25-d69-cam-002,423.0,14.421,764.0,26.02
take outV,"['drawer', 'counter']",['fork'],['hand'],69.0,25.0,2660.0,take outVhandforkdrawercounter,s25-d69-cam-002,787.0,26.802,1124.0,38.265
washV,[''],['bowl'],['hand'],69.0,25.0,3131.0,washVhandbowl,s25-d69-cam-002,1152.0,39.217,1224.0,41.666
shakeV,[''],['bowl'],['hand'],69.0,25.0,2165.0,shakeVhandbowl,s25-d69-cam-002,1240.0,42.21,1339.0,45.578
open eggV,['bowl'],['egg'],"['hand', 'bowl']",69.0,25.0,1373.0,open eggVhandbowleggbowl,s25-d69-cam-002,1364.0,46.428,1775.0,60.408
throw in garbageV,[''],['eggshell'],['hand'],69.0,25.0,3015.0,throw in garbageVhandeggshell,s25-d69-cam-002,1785.0,60.748,1813.0,61.7
open eggV,['bowl'],['egg'],"['hand', 'bowl']",69.0,25.0,1373.0,open eggVhandbowleggbowl,s25-d69-cam-002,1840.0,62.619,2045.0,69.591
throw in garbageV,[''],['eggshell'],['hand'],69.0,25.0,3015.0,throw in garbageVhandeggshell,s25-d69-cam-002,2053.0,69.863,2082.0,70.85
washV,[''],['hand'],['hand'],69.0,25.0,3171.0,washVhandhand,s25-d69-cam-002,2089.0,71.088,2162.0,73.571
shakeV,[''],['hand'],['hand'],69.0,25.0,2205.0,shakeVhandhand,s25-d69-cam-002,2167.0,73.741,2200.0,74.863
take outV,"['spice-holder', '']",['spice-shaker'],['hand'],69.0,25.0,2852.0,take outVhandspice shakerspice holder,s25-d69-cam-002,2205.0,75.034,2239.0,76.19
screw openV,[''],['spice-shaker'],['hand'],69.0,25.0,2153.0,screw openVhandspice shaker,s25-d69-cam-002,2239.0,76.19,2298.0,78.197
spiceV,"['spice-shaker', 'bowl']",['salt'],"['hand', 'spice-shaker']",69.0,25.0,2364.0,spiceVhandspice shakersaltspice shakerbowl,s25-d69-cam-002,2326.0,79.149,2618.0,89.081
screw closeV,[''],['spice-shaker'],['hand'],69.0,25.0,2141.0,screw closeVhandspice shaker,s25-d69-cam-002,2634.0,89.625,2689.0,91.496
put inV,"['', 'spice-holder']",['spice-shaker'],['hand'],69.0,25.0,1829.0,put inVhandspice shakerspice holder,s25-d69-cam-002,2693.0,91.632,2725.0,92.721
washV,[''],['fork'],['hand'],69.0,25.0,3159.0,washVhandfork,s25-d69-cam-002,2779.0,94.557,2866.0,97.517
shakeV,[''],['fork'],['hand'],69.0,25.0,2195.0,shakeVhandfork,s25-d69-cam-002,2871.0,97.687,2924.0,99.489
whipV,['bowl'],['egg'],['fork'],69.0,25.0,3250.0,whipVforkeggbowl,s25-d69-cam-002,2945.0,100.204,3349.0,113.945
whipV,['bowl'],['egg'],['teaspoon'],69.0,25.0,3252.0,whipVteaspooneggbowl,s25-d69-cam-002,3364.0,114.455,3407.0,115.918
turn onV,[''],['stove'],['hand'],69.0,25.0,3096.0,turn onVhandstove,s25-d69-cam-002,3413.0,116.122,3555.0,120.952
take outV,"['drawer', '']",['frying-pan'],['hand'],69.0,25.0,2671.0,take outVhandfrying pandrawer,s25-d69-cam-002,3579.0,121.768,3693.0,125.646
take outV,"['cupboard', 'counter']",['bottle'],['hand'],69.0,25.0,2558.0,take outVhandbottlecupboardcounter,s25-d69-cam-002,3720.0,126.564,3960.0,134.727
screw openV,[''],['bottle'],['hand'],69.0,25.0,2146.0,screw openVhandbottle,s25-d69-cam-002,4081.0,138.843,4145.0,141.02
pourV,['frying-pan'],['oil'],['bottle'],69.0,25.0,1505.0,pourVbottleoilfrying pan,s25-d69-cam-002,4188.0,142.482,4290.0,145.952
spreadV,['frying-pan'],['oil'],['frying-pan'],69.0,25.0,2396.0,spreadVfrying panoilfrying pan,s25-d69-cam-002,4354.0,148.129,4474.0,152.21
pourV,['frying-pan'],['oil'],['bottle'],69.0,25.0,1505.0,pourVbottleoilfrying pan,s25-d69-cam-002,4524.0,153.911,4569.0,155.442
screw closeV,[''],['bottle'],['hand'],69.0,25.0,2134.0,screw closeVhandbottle,s25-d69-cam-002,4607.0,156.734,4678.0,159.149
whipV,['bowl'],['egg'],['fork'],69.0,25.0,3250.0,whipVforkeggbowl,s25-d69-cam-002,4705.0,160.068,4908.0,166.972
whipV,['bowl'],['egg'],['fork'],69.0,25.0,3250.0,whipVforkeggbowl,s25-d69-cam-002,4923.0,167.482,5039.0,171.428
test temperatureV,['frying-pan'],['oil'],['hand'],69.0,25.0,2971.0,test temperatureVhandoilfrying pan,s25-d69-cam-002,5039.0,171.428,5092.0,173.231
spreadV,['frying-pan'],['oil'],['frying-pan'],69.0,25.0,2396.0,spreadVfrying panoilfrying pan,s25-d69-cam-002,5092.0,173.231,5172.0,175.952
take outV,"['drawer', '']",['spatula'],['hand'],69.0,25.0,2848.0,take outVhandspatuladrawer,s25-d69-cam-002,5226.0,177.789,5356.0,182.21
put inV,"['', 'drawer']",['spatula'],['hand'],69.0,25.0,1827.0,put inVhandspatuladrawer,s25-d69-cam-002,5471.0,186.122,5567.0,189.387
whipV,['bowl'],['egg'],['fork'],69.0,25.0,3250.0,whipVforkeggbowl,s25-d69-cam-002,5574.0,189.622,5674.0,193.027
test temperatureV,['frying-pan'],['oil'],['hand'],69.0,25.0,2971.0,test temperatureVhandoilfrying pan,s25-d69-cam-002,5674.0,193.027,5769.0,196.258
whipV,['bowl'],['egg'],['fork'],69.0,25.0,3250.0,whipVforkeggbowl,s25-d69-cam-002,5779.0,196.598,5918.0,201.326
addV,"['bowl', 'frying-pan']",['egg'],['bowl'],69.0,25.0,1.0,addVbowleggbowlfrying pan,s25-d69-cam-002,5922.0,201.462,6170.0,209.885
change temperatureV,[''],['stove'],['hand'],69.0,25.0,298.0,change temperatureVhandstove,s25-d69-cam-002,6179.0,210.204,6267.0,213.197
shakeV,[''],['bowl'],['hand'],69.0,25.0,2165.0,shakeVhandbowl,s25-d69-cam-002,6278.0,213.571,6581.0,223.877
washV,[''],"['fork', 'bowl']",['hand'],69.0,25.0,3160.0,washVhandforkbowl,s25-d69-cam-002,6755.0,229.795,6813.0,231.768
washV,[''],"['fork', 'bowl']",['hand'],69.0,25.0,3160.0,washVhandforkbowl,s25-d69-cam-002,6813.0,231.768,6921.0,235.442
shakeV,[''],['fork'],['hand'],69.0,25.0,2195.0,shakeVhandfork,s25-d69-cam-002,6921.0,235.442,6952.0,236.496
washV,[''],['bowl'],['hand'],69.0,25.0,3131.0,washVhandbowl,s25-d69-cam-002,6962.0,236.836,7006.0,238.333
addV,"['plastic-bottle', 'bowl']",['detergent'],['plastic-bottle'],69.0,25.0,197.0,addVplastic bottledetergentplastic bottlebowl,s25-d69-cam-002,7029.0,239.115,7124.0,242.346
washV,[''],['bowl'],['sponge'],69.0,25.0,3234.0,washVspongebowl,s25-d69-cam-002,7155.0,243.401,7321.0,249.047
washV,[''],['bowl'],['hand'],69.0,25.0,3131.0,washVhandbowl,s25-d69-cam-002,7344.0,249.829,7537.0,256.394
moveV,"['counter', 'counter']",['sponge'],['hand'],69.0,25.0,1258.0,moveVhandspongecountercounter,s25-d69-cam-002,7550.0,256.836,7575.0,257.687
shakeV,[''],"['fork', 'bowl']",['hand'],69.0,25.0,2196.0,shakeVhandforkbowl,s25-d69-cam-002,7593.0,258.299,7628.0,259.489
take outV,"['drawer', '']",['spatula'],['hand'],69.0,25.0,2848.0,take outVhandspatuladrawer,s25-d69-cam-002,7701.0,261.972,7757.0,263.877
open closeV,['drawer'],[''],['hand'],69.0,25.0,1367.0,open closeVhanddrawer,s25-d69-cam-002,7922.0,269.463,8010.0,272.482
moveV,"['frying-pan', 'frying-pan']",['egg'],['fork'],69.0,25.0,846.0,moveVforkeggfrying panfrying pan,s25-d69-cam-002,8471.0,288.163,8521.0,289.863
moveV,"['frying-pan', 'frying-pan']",['egg'],"['fork', 'spatula']",69.0,25.0,848.0,moveVforkspatulaeggfrying panfrying pan,s25-d69-cam-002,8589.0,292.145,8713.0,296.379
take outV,"['spice-holder', '']",['spice-shaker'],['hand'],69.0,25.0,2852.0,take outVhandspice shakerspice holder,s25-d69-cam-002,8848.0,300.986,8890.0,302.414
screw openV,[''],['spice-shaker'],['hand'],69.0,25.0,2153.0,screw openVhandspice shaker,s25-d69-cam-002,8922.0,303.503,8972.0,305.204
spiceV,[],"['spice', 'frying-pan']","['hand', 'spice-shaker']",69.0,25.0,2365.0,spiceVhandspice shakerspicefrying pan,s25-d69-cam-002,8984.0,305.612,9187.0,312.517
screw closeV,[''],['spice-shaker'],['hand'],69.0,25.0,2141.0,screw closeVhandspice shaker,s25-d69-cam-002,9194.0,312.755,9236.0,314.183
put inV,"['', 'spice-holder']",['spice-shaker'],['hand'],69.0,25.0,1829.0,put inVhandspice shakerspice holder,s25-d69-cam-002,9241.0,314.353,9273.0,315.442
turn overV,['frying-pan'],['egg'],"['spatula', 'fork']",69.0,25.0,3109.0,turn overVspatulaforkeggfrying pan,s25-d69-cam-002,9342.0,317.789,9558.0,325.136
turn overV,[],[],['frying-pan'],69.0,25.0,3101.0,turn overVfrying pan,s25-d69-cam-002,9718.0,330.567,9793.0,333.129
turn overV,['frying-pan'],['egg'],"['spatula', 'fork']",69.0,25.0,3109.0,turn overVspatulaforkeggfrying pan,s25-d69-cam-002,10688.0,363.571,10840.0,368.741
take outV,"['spice-holder', '']",['spice-shaker'],['hand'],69.0,25.0,2852.0,take outVhandspice shakerspice holder,s25-d69-cam-002,11319.0,385.0,11340.0,385.748
screw openV,[''],['spice-shaker'],['hand'],69.0,25.0,2153.0,screw openVhandspice shaker,s25-d69-cam-002,11348.0,386.02,11370.0,386.768
spiceV,['frying-pan'],['spice'],"['hand', 'spice-shaker']",69.0,25.0,2365.0,spiceVhandspice shakerspicefrying pan,s25-d69-cam-002,11397.0,387.687,11723.0,398.775
screw closeV,[''],['spice-shaker'],['hand'],69.0,25.0,2141.0,screw closeVhandspice shaker,s25-d69-cam-002,11765.0,400.204,11793.0,401.156
put inV,"['', 'spice-holder']",['spice-shaker'],['hand'],69.0,25.0,1829.0,put inVhandspice shakerspice holder,s25-d69-cam-002,11805.0,401.564,11839.0,402.721
turn offV,[''],['stove'],['hand'],69.0,25.0,3087.0,turn offVhandstove,s25-d69-cam-002,12067.0,410.476,12145.0,413.129
put inV,"['counter', 'cupboard']",['bottle'],['hand'],69.0,25.0,1721.0,put inVhandbottlecountercupboard,s25-d69-cam-002,12273.0,417.482,12405.0,421.972
moveV,"['counter', 'counter']",['bowl'],['hand'],69.0,25.0,867.0,moveVhandbowlcountercounter,s25-d69-cam-002,12446.0,423.367,12479.0,424.489
addV,"['frying-pan', 'bowl']",['egg'],"['spatula', 'fork']",69.0,25.0,217.0,addVspatulaforkeggfrying panbowl,s25-d69-cam-002,12510.0,425.516,12697.0,431.904
addV,"['frying-pan', 'bowl']",['egg'],"['spatula', 'fork']",69.0,25.0,217.0,addVspatulaforkeggfrying panbowl,s25-d69-cam-002,12703.0,432.108,12850.0,437.108
washV,[''],['spatula'],['sponge'],69.0,25.0,3246.0,washVspongespatula,s25-d69-cam-002,13248.0,450.646,13590.0,462.278
washV,[''],['spatula'],['hand'],69.0,25.0,3215.0,washVhandspatula,s25-d69-cam-002,13615.0,463.129,13745.0,467.539
washV,[''],['spatula'],['sponge'],69.0,25.0,3246.0,washVspongespatula,s25-d69-cam-002,13766.0,468.265,13915.0,473.333
washV,[''],['spatula'],['hand'],69.0,25.0,3215.0,washVhandspatula,s25-d69-cam-002,13927.0,473.741,14097.0,479.523
shakeV,[''],['spatula'],['hand'],69.0,25.0,2249.0,shakeVhandspatula,s25-d69-cam-002,14116.0,480.17,14185.0,482.517
put inV,"['', 'drawer']",['spatula'],['hand'],69.0,25.0,1827.0,put inVhandspatuladrawer,s25-d69-cam-002,14210.0,483.367,14307.0,486.666
enterV,[''],[''],[''],23.0,26.0,706.0,enterV,s26-d23-cam-002,184.0,6.292,202.0,6.904
take outV,"['fridge', 'counter']",['carrot'],['hand'],23.0,26.0,2596.0,take outVhandcarrotfridgecounter,s26-d23-cam-002,244.0,8.333,674.0,22.959
take outV,"['drawer', '']",['front-peeler'],['hand'],23.0,26.0,2664.0,take outVhandfront peelerdrawer,s26-d23-cam-002,703.0,23.945,822.0,27.993
take outV,"['drawer', 'counter']",['side-peeler'],['hand'],23.0,26.0,2841.0,take outVhandside peelerdrawercounter,s26-d23-cam-002,840.0,28.605,909.0,30.952
take outV,"['drawer', 'counter']",['chefs-knife'],['hand'],23.0,26.0,2605.0,take outVhandchefs knifedrawercounter,s26-d23-cam-002,918.0,31.238,964.0,32.823
closeV,['drawer'],[''],['hand'],23.0,26.0,363.0,closeVhanddrawer,s26-d23-cam-002,964.0,32.823,999.0,34.013
take outV,"['drawer', 'counter']",['cutting-board'],['hand'],23.0,26.0,2637.0,take outVhandcutting boarddrawercounter,s26-d23-cam-002,999.0,34.013,1119.0,38.095
washV,[''],['carrot'],['hand'],23.0,26.0,3138.0,washVhandcarrot,s26-d23-cam-002,1183.0,40.272,1291.0,43.944
shakeV,[''],['carrot'],['hand'],23.0,26.0,2174.0,shakeVhandcarrot,s26-d23-cam-002,1291.0,43.944,1339.0,45.578
cut off endsV,['cutting-board'],['carrot'],['chefs-knife'],23.0,26.0,518.0,cut off endsVchefs knifecarrotcutting board,s26-d23-cam-002,1382.0,47.04,1404.0,47.789
peelV,[''],['carrot'],['side-peeler'],23.0,26.0,1485.0,peelVside peelercarrot,s26-d23-cam-002,1491.0,50.748,2164.0,73.639
cut off endsV,['cutting-board'],['carrot'],['chefs-knife'],23.0,26.0,518.0,cut off endsVchefs knifecarrotcutting board,s26-d23-cam-002,2226.0,75.737,2309.0,78.567
moveV,"['cutting-board', 'counter']",['side-peeler'],['hand'],23.0,26.0,1235.0,moveVhandside peelercutting boardcounter,s26-d23-cam-002,2338.0,79.557,2388.0,81.258
sliceV,['cutting-board'],['carrot'],['chefs-knife'],23.0,26.0,2281.0,sliceVchefs knifecarrotcutting board,s26-d23-cam-002,2407.0,81.904,2712.0,92.278
scratch offV,"['chefs-knife', 'cutting-board']",['carrot'],['hand'],23.0,26.0,2037.0,scratch offVhandcarrotchefs knifecutting board,s26-d23-cam-002,2728.0,92.823,2756.0,93.775
enterV,[''],[''],[''],26.0,26.0,706.0,enterV,s26-d26-cam-002,137.0,4.693,181.0,6.19
open closeV,['drawer'],[''],['hand'],26.0,26.0,1367.0,open closeVhanddrawer,s26-d26-cam-002,187.0,6.394,268.0,9.149
take outV,"['drawer', 'stove']",['pot'],['hand'],26.0,26.0,2833.0,take outVhandpotdrawerstove,s26-d26-cam-002,283.0,9.659,474.0,16.156
take lidV,"['pot', 'counter']",['lid'],['hand'],26.0,26.0,2531.0,take lidVhandlidpotcounter,s26-d26-cam-002,480.0,16.36,505.0,17.21
take lidV,"['pot', 'counter']",['lid'],['hand'],26.0,26.0,2531.0,take lidVhandlidpotcounter,s26-d26-cam-002,512.0,17.448,561.0,19.115
fillV,"['', 'pot']",['water'],['tap'],26.0,26.0,717.0,fillVtapwaterpot,s26-d26-cam-002,638.0,21.734,1292.0,43.979
moveV,"['sink', 'stove']",['pot'],['hand'],26.0,26.0,1225.0,moveVhandpotsinkstove,s26-d26-cam-002,1292.0,43.979,1450.0,49.353
turn onV,[''],['stove'],['hand'],26.0,26.0,3096.0,turn onVhandstove,s26-d26-cam-002,1455.0,49.523,1577.0,53.673
put lidV,"['counter', 'pot']",['lid'],['hand'],26.0,26.0,1858.0,put lidVhandlidcounterpot,s26-d26-cam-002,1589.0,54.081,1668.0,56.768
take outV,"['drawer', 'counter']",['cutting-board'],['hand'],26.0,26.0,2637.0,take outVhandcutting boarddrawercounter,s26-d26-cam-002,1740.0,59.217,1858.0,63.231
take outV,"['fridge', 'cutting-board']",['cauliflower'],['hand'],26.0,26.0,2602.0,take outVhandcauliflowerfridgecutting board,s26-d26-cam-002,1878.0,63.911,2441.0,83.061
take outV,['drawer'],['knife'],['hand'],26.0,26.0,2704.0,take outVhandknifedrawer,s26-d26-cam-002,2447.0,83.265,2562.0,87.176
cut apartV,['cutting-board'],['cauliflower'],['hand'],26.0,26.0,411.0,cut apartVhandcauliflowercutting board,s26-d26-cam-002,2570.0,87.448,2630.0,89.489
cut apartV,['cutting-board'],['cauliflower'],['knife'],26.0,26.0,430.0,cut apartVknifecauliflowercutting board,s26-d26-cam-002,2664.0,90.646,2717.0,92.448
cut apartV,['cutting-board'],['cauliflower'],['knife'],26.0,26.0,430.0,cut apartVknifecauliflowercutting board,s26-d26-cam-002,2724.0,92.687,2752.0,93.639
cut apartV,['cutting-board'],['cauliflower'],['knife'],26.0,26.0,430.0,cut apartVknifecauliflowercutting board,s26-d26-cam-002,2822.0,96.02,2891.0,98.367
cut apartV,['cutting-board'],['cauliflower'],['knife'],26.0,26.0,430.0,cut apartVknifecauliflowercutting board,s26-d26-cam-002,2963.0,100.816,3026.0,102.959
cutV,['cutting-board'],['cauliflower'],['knife'],26.0,26.0,636.0,cutVknifecauliflowercutting board,s26-d26-cam-002,3132.0,106.564,3223.0,109.659
cut apartV,['cutting-board'],['cauliflower'],['knife'],26.0,26.0,430.0,cut apartVknifecauliflowercutting board,s26-d26-cam-002,3276.0,111.462,3369.0,114.625
cut apartV,['cutting-board'],['cauliflower'],['knife'],26.0,26.0,430.0,cut apartVknifecauliflowercutting board,s26-d26-cam-002,3440.0,117.04,3524.0,119.897
cut apartV,['cutting-board'],['cauliflower'],['knife'],26.0,26.0,430.0,cut apartVknifecauliflowercutting board,s26-d26-cam-002,3532.0,120.17,3581.0,121.836
cut apartV,['cutting-board'],['cauliflower'],['knife'],26.0,26.0,430.0,cut apartVknifecauliflowercutting board,s26-d26-cam-002,3731.0,126.938,3789.0,128.911
cut apartV,['cutting-board'],['cauliflower'],['knife'],26.0,26.0,430.0,cut apartVknifecauliflowercutting board,s26-d26-cam-002,3801.0,129.319,3853.0,131.088
pull apartV,[''],['cauliflower'],['knife'],26.0,26.0,1669.0,pull apartVknifecauliflower,s26-d26-cam-002,3879.0,131.972,3915.0,133.197
pullV,[''],['cauliflower'],['knife'],26.0,26.0,1692.0,pullVknifecauliflower,s26-d26-cam-002,3973.0,135.17,4066.0,138.333
cut apartV,['cutting-board'],['cauliflower'],['knife'],26.0,26.0,430.0,cut apartVknifecauliflowercutting board,s26-d26-cam-002,4132.0,140.578,4177.0,142.108
scratch offV,"['knife', 'cutting-board']",['cauliflower'],['hand'],26.0,26.0,2048.0,scratch offVhandcauliflowerknifecutting board,s26-d26-cam-002,4185.0,142.38,4214.0,143.367
put inV,"['cutting-board', 'fridge']",['cauliflower'],['hand'],26.0,26.0,1745.0,put inVhandcauliflowercutting boardfridge,s26-d26-cam-002,4250.0,144.591,4740.0,161.258
take outV,"['fridge', 'counter']",['plastic-box'],['hand'],26.0,26.0,2803.0,take outVhandplastic boxfridgecounter,s26-d26-cam-002,4779.0,162.585,4935.0,167.891
throw in garbageV,[''],"['cauliflower', 'cauliflower']",['hand'],26.0,26.0,3003.0,throw in garbageVhandcauliflowercauliflower,s26-d26-cam-002,5185.0,176.394,5299.0,180.272
washV,[''],['cauliflower'],['hand'],26.0,26.0,3141.0,washVhandcauliflower,s26-d26-cam-002,5348.0,181.938,5599.0,190.476
shakeV,[''],['cauliflower'],['hand'],26.0,26.0,2177.0,shakeVhandcauliflower,s26-d26-cam-002,5602.0,190.578,5646.0,192.074
washV,[''],['hand'],['hand'],26.0,26.0,3171.0,washVhandhand,s26-d26-cam-002,5725.0,194.761,5768.0,196.224
shakeV,[''],['hand'],['hand'],26.0,26.0,2205.0,shakeVhandhand,s26-d26-cam-002,5773.0,196.394,5803.0,197.414
dryV,[''],['hand'],['towel'],26.0,26.0,683.0,dryVtowelhand,s26-d26-cam-002,5814.0,197.789,5867.0,199.591
